Defunciones registradas (mortalidad general),,,,,
Año de registro : 2010,,,,,
Ent y mun de residencia : Puebla,,,,,
,,,,,
Consulta de: Defunciones registradas   Por: Edad y Año de ocurrencia   Según: Sexo,,,,,
,,,,,
,,Hombre,Mujer,,
Menores de 1 año,2010,"1,282","1,001",,
1-4 años,2010,206,189,,
5-9 años,2010,102,80,,
10-14 años,2010,126,79,,
15-19 años,2010,295,158,,
20-24 años,2010,343,127,,
25-29 años,2010,367,170,,
30-34 años,2010,418,182,,
35-39 años,2010,510,266,,
40-44 años,2010,595,315,,
45-49 años,2010,753,440,,
50-54 años,2010,870,647,,
55-59 años,2010,"1,010",777,,
60-64 años,2010,"1,167",925,,
65-69 años,2010,"1,261","1,073",,
70-74 años,2010,"1,431","1,294",,
75-79 años,2010,"1,619","1,657",,
80-84 años,2010,"1,473","1,740",,
85 años y más,2010,"2,376","3,321",,
,,,,,
,,,,,
,,,,,
Fuente: INEGI. Estadísticas de Defunciones Registradas (EDR).,,,,,
,,,,,
